,Content,Density,Heater,Ambient,tr,tf_66,tf_50,tf_66_a,tf_50_a
0,Water,Low,h1r1h07,Indoors,1.8333333333333333,5.333333333333333,2.5,5.25,2.5
1,Water,Low,h1r1h02,Indoors,1.9166666666666667,8.833333333333334,3.0833333333333335,10.583333333333334,3.5
2,Water,Medium,h1r1h07,Indoors,2.0833333333333335,4.083333333333333,1.9166666666666667,4.25,2.0
3,Water,Medium,h1r1h02,Indoors,2.3333333333333335,9.666666666666666,3.0833333333333335,10.083333333333334,3.3333333333333335
4,Water,High,h1r1h07,Indoors,2.4166666666666665,7.833333333333333,2.3333333333333335,7.416666666666667,2.3333333333333335
5,Water,High,h1r1h02,Indoors,2.8333333333333335,13.25,2.9166666666666665,12.75,2.9166666666666665
6,Bees,Low,h1r1h07,Indoors,1.5833333333333333,5.083333333333333,3.0,5.75,3.3333333333333335
7,Bees,Low,h1r1h02,Indoors,1.8333333333333333,6.166666666666667,3.25,7.083333333333333,3.6666666666666665
8,Bees,Medium,h1r1h07,Indoors,1.4166666666666667,7.416666666666667,3.8333333333333335,5.916666666666667,3.4166666666666665
9,Bees,Medium,h1r1h02,Indoors,1.6666666666666667,8.333333333333334,3.9166666666666665,6.333333333333333,3.3333333333333335
10,Bees,High,h1r1h07,Indoors,1.5,6.083333333333333,3.3333333333333335,5.75,3.25
11,Bees,High,h1r1h02,Indoors,1.6666666666666667,7.416666666666667,3.6666666666666665,6.666666666666667,3.5
12,Honey,Low,h1r1h07,Indoors,1.6666666666666667,5.583333333333333,2.75,4.416666666666667,2.3333333333333335
13,Honey,Low,h1r1h02,Indoors,1.9166666666666667,7.916666666666667,3.5,5.916666666666667,2.9166666666666665
14,Honey,Medium,h1r1h07,Indoors,1.75,9.583333333333334,2.9166666666666665,5.583333333333333,2.5833333333333335
15,Honey,Medium,h1r1h02,Indoors,2.0,8.666666666666666,2.5833333333333335,4.916666666666667,2.1666666666666665
16,Honey,High,h1r1h07,Indoors,2.0833333333333335,6.25,2.4166666666666665,5.166666666666667,2.3333333333333335
17,Honey,High,h1r1h02,Indoors,2.3333333333333335,7.916666666666667,2.5,5.916666666666667,2.3333333333333335
18,Water,Low,h1r1h07,Outdoors,1.5833333333333333,4.583333333333333,2.3333333333333335,4.333333333333333,2.25
19,Water,Low,h1r1h02,Outdoors,1.75,5.916666666666667,2.6666666666666665,4.833333333333333,2.3333333333333335
20,Water,Medium,h1r1h07,Outdoors,1.75,4.333333333333333,2.0,3.0,1.5833333333333333
21,Water,Medium,h1r1h02,Outdoors,2.0,8.916666666666666,2.5,4.25,1.9166666666666667
22,Water,High,h1r1h07,Outdoors,2.25,3.6666666666666665,1.6666666666666667,2.9166666666666665,1.5
23,Water,High,h1r1h02,Outdoors,2.75,8.25,2.5,5.25,2.0
24,Bees,Low,h1r1h07,Outdoors,1.3333333333333333,9.583333333333334,4.0,5.583333333333333,3.0833333333333335
25,Bees,Low,h1r1h02,Outdoors,1.5,31.5,4.75,6.416666666666667,3.4166666666666665
26,Bees,Medium,h1r1h07,Outdoors,1.4166666666666667,6.083333333333333,3.4166666666666665,5.75,3.25
27,Bees,Medium,h1r1h02,Outdoors,1.5,7.916666666666667,3.8333333333333335,7.25,3.5833333333333335
28,Bees,High,h1r1h07,Outdoors,1.4166666666666667,5.666666666666667,3.3333333333333335,5.333333333333333,3.0833333333333335
29,Bees,High,h1r1h02,Outdoors,1.5833333333333333,7.416666666666667,3.75,6.833333333333333,3.4166666666666665
30,Honey,Low,h1r1h07,Outdoors,1.5,4.0,2.0833333333333335,4.75,2.3333333333333335
31,Honey,Low,h1r1h02,Outdoors,1.75,5.666666666666667,2.75,7.333333333333333,3.0833333333333335
32,Honey,Medium,h1r1h07,Outdoors,1.6666666666666667,4.916666666666667,2.3333333333333335,4.166666666666667,2.0833333333333335
33,Honey,Medium,h1r1h02,Outdoors,1.9166666666666667,4.833333333333333,2.25,4.0,1.9166666666666667
34,Honey,High,h1r1h07,Outdoors,1.9166666666666667,5.0,2.0833333333333335,3.8333333333333335,1.9166666666666667
35,Honey,High,h1r1h02,Outdoors,2.25,5.666666666666667,2.0833333333333335,4.083333333333333,1.9166666666666667
